Reference, Quantity, Value, Footprint, Datasheet
C2 ,1,"1000uF","","~"
C22 ,1,"1nF","","~"
C23 ,1,"100uF","","~"
C25 C24 ,2,"30 pF","","~"
C5 C1 C6 C7 C8 C9 C4 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C3 ,20,"0.1uF","","~"
D2 D1 D5 D6 D7 ,5,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.microsemi.com/document-portal/doc_view/11580-lds-0239"
D3 ,1,"1N4001 X4","","~"
D4 J1 ,2,"POWER","","~"
J2 ,1,"5V POWER","","~"
J5 ,1,"LTC","","~"
J6 ,1,"EXPANSION","","~"
J7 ,1,"PARALLEL PORT","","~"
J8 ,1,"FTDI SERIAL","","~"
J9 ,1,"USB POWER","","~"
R1 ,1,"8K2","","~"
R2 ,1,"330","","~"
R3 R4 ,2,"2K2","","~"
R53 ,1,"4K7","","~"
R54 ,1,"3K","","~"
RN1 ,1,"8K2","Resistor_THT:R_Array_SIP7","http://www.vishay.com/docs/31509/csc.pdf"
RN2 ,1,"3K","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
RN3 RN4 RN5 RN6 RN7 RN8 ,6,"470","","~"
SW1 ,1,""D"","","~"
SW10 ,1,""4"","","~"
SW11 ,1,""5"","","~"
SW12 ,1,""6"","","~"
SW13 ,1,""1"","","~"
SW14 ,1,""2"","","~"
SW15 ,1,""3"","","~"
SW16 ,1,""0"","","~"
SW17 ,1,""RESET"","","~"
SW18 ,1,"SEGMENT TEST","","~"
SW2 ,1,""E"","","~"
SW3 ,1,""F"","","~"
SW4 ,1,""A"","","~"
SW5 ,1,""B"","","~"
SW6 ,1,""C"","","~"
SW7 ,1,""7"","","~"
SW8 ,1,""8"","","~"
SW9 ,1,""9"","","~"
U1 ,1,"LM7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf"
U11 U12 U13 U14 U15 U16 ,6,"74LS259","","http://www.ti.com/lit/gpn/sn74LS259"
U17 U23 ,2,"74LS244","","http://www.ti.com/lit/gpn/sn74LS244"
U18 ,1,"62256 RAM","Package_DIP:DIP-28_W15.24mm","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf"
U19 ,1,"27128","Package_DIP:DIP-28_W15.24mm","http://eeshop.unl.edu/pdf/27128.pdf"
U2 ,1,"6821","Package_DIP:DIP-40_W15.24mm","http://pdf.datasheetcatalog.com/datasheet/motorola/6821.pdf"
U20 ,1,"MC6802","Package_DIP:DIP-40_W15.24mm","https://www.jameco.com/Jameco/Products/ProdDS/43502.pdf"
U22 ,1,"ATF16V8B","",""
U24 ,1,"74LS42","","http://www.ti.com/lit/gpn/sn74LS42"
U25 ,1,"74LS00","","http://www.ti.com/lit/gpn/sn74ls00"
U3 ,1,"MC6850","Package_DIP:DIP-40_W15.24mm","http://pdf.datasheetcatalog.com/datasheet/motorola/MC6850.pdf"
U4 ,1,"74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
U5 U6 U7 U8 U9 U10 ,6,"MAN71A","Display_7Segment:MAN71A","https://www.digchip.com/datasheets/parts/datasheet/161/MAN3640A-pdf.php"
Y1 ,1,"1.8432 MHz","","~"
Y2 ,1,"3.579545 kHz","","~"
